name,salinity,January_temp,June_temp,area,latitude,longitude,type of sea,corals,silt/sulfide
Adriatic Sea,38.29852676,15.65879917,20.855299,138000,43,15,2,1,0
Adriatic Sea,38.30490875,16.29709816,19.50119972,138000,43,15,2,1,0
Adriatic Sea,38.46203995,16.25159836,19.0284996,138000,43,15,2,1,0
Adriatic Sea,38.1216011,15.70950031,22.88299942,138000,43,15,2,1,0
Adriatic Sea,38.51919556,15.73340034,21.82479858,138000,43,15,2,1,0
Adriatic Sea,38.060215,16.13659859,18.58670044,138000,43,15,2,1,0
Adriatic Sea,38.49729538,16.24869919,21.00250053,138000,43,15,2,1,0
Adriatic Sea,38.334095,16.15019798,21.45909882,138000,43,15,2,1,0
Adriatic Sea,38.50857925,15.69190025,23.5338974,138000,43,15,2,1,0
Adriatic Sea,38.33076096,16.2329998,18.59019852,138000,43,15,2,1,0
Adriatic Sea,38.43889618,16.23059845,20.59069824,138000,43,15,2,1,0
Adriatic Sea,38.48653412,15.47490025,23.76440048,138000,43,15,2,1,0
Adriatic Sea,38.38568497,16.30189705,21.28879929,138000,43,15,2,1,0
Adriatic Sea,38.41160202,15.73089981,23.69750023,138000,43,15,2,1,0
Adriatic Sea,38.1635437,15.54399776,23.75709915,138000,43,15,2,1,0
Adriatic Sea,38.32350159,15.71049881,23.90550041,138000,43,15,2,1,0
Adriatic Sea,38.22809982,16.19179726,21.00889778,138000,43,15,2,1,0
Adriatic Sea,38.40431213,16.20009804,21.4618988,138000,43,15,2,1,0
Adriatic Sea,38.0024147,15.66829967,23.82899857,138000,43,15,2,1,0
Adriatic Sea,38.31431961,15.61329937,23.92119789,138000,43,15,2,1,0
Adriatic Sea,38.14597702,9.5,24.7,138000,43,15,2,1,0
Adriatic Sea,38.46493149,10.8,23.2,138000,43,15,2,1,0
Adriatic Sea,38.44629288,13.8,24.6,138000,43,15,2,1,0
Adriatic Sea,38.22260666,14.4,20.8,138000,43,15,2,1,0
Adriatic Sea,38.31848526,15.5,24,138000,43,15,2,1,0
Adriatic Sea,38.36925888,11.6,23.1,138000,43,15,2,1,0
Adriatic Sea,38.36457443,8.9,22.9,138000,43,15,2,1,0
Adriatic Sea,38.14266205,8.1,23.7,138000,43,15,2,1,0
Adriatic Sea,38.38327026,8.6,24.8,138000,43,15,2,1,0
Adriatic Sea,38.408638,8,24.8,138000,43,15,2,1,0
Adriatic Sea,38.26939392,9.5,24.7,138000,43,15,2,1,0
